8799940	8799940	22
8799941	8799941	21
8799942	8799942	22
8799943	8799943	27
8799944	8799944	30
8799945	8799945	27
8799946	8799946	27
8799947	8799947	25
8799948	8799948	31
8799949	8799949	9
8799950	8799950	19
8799951	8799951	30
8799952	8799952	22
8799953	8799953	19
8799954	8799954	32
8799955	8799955	25
8799956	8799956	17
8799957	8799957	25
8799958	8799958	21
8799959	8799959	24
8799960	8799960	25
8799961	8799961	20
8799962	8799962	23
8799963	8799963	16
8799964	8799964	22
8799965	8799965	20
8799966	8799966	22
8799967	8799967	36
8799968	8799968	25
8799969	8799969	30
8799970	8799970	41
8799971	8799971	29
8799972	8799972	26
8799973	8799973	26
8799974	8799974	29
8799975	8799975	33
8799976	8799976	34
8799977	8799977	31
8799978	8799978	25
8799979	8799979	26
8799980	8799980	19
8799981	8799981	32
8799982	8799982	37
8799983	8799983	47
8799984	8799984	34
8799985	8799985	28
8799986	8799986	15
8799987	8799987	27
8799988	8799988	23
8799989	8799989	18
8799990	8799990	24
8799991	8799991	27
8799992	8799992	27
8799993	8799993	27
8799994	8799994	30
8799995	8799995	22
8799996	8799996	27
8799997	8799997	20
8799998	8799998	29
8799999	8799999	16
8800000	8800000	26
8800001	8800001	14
8800002	8800002	13
8800003	8800003	8
8800004	8800004	24
8800005	8800005	22
8800006	8800006	18
8800007	8800007	30
8800008	8800008	29
8800009	8800009	33
8800010	8800010	33
8800011	8800011	43
8800012	8800012	42
8800013	8800013	33
8800014	8800014	27
8800015	8800015	15
8800016	8800016	28
8800017	8800017	45
8800018	8800018	31
8800019	8800019	26
8800020	8800020	32
8800021	8800021	38
8800022	8800022	10
8800023	8800023	27
8800024	8800024	38
8800025	8800025	33
8800026	8800026	26
8800027	8800027	25
8800028	8800028	22
8800029	8800029	17
8800030	8800030	16
8800031	8800031	26
8800032	8800032	32
8800033	8800033	19
8800034	8800034	30
8800035	8800035	23
8800036	8800036	33
8800037	8800037	15
8800038	8800038	40
8800039	8800039	11
8800040	8800040	26
8800041	8800041	24
8800042	8800042	23
8800043	8800043	34
8800044	8800044	27
8800045	8800045	23
8800046	8800046	19
8800047	8800047	27
8800048	8800048	25
8800049	8800049	23
8800050	8800050	47
8800051	8800051	28
8800052	8800052	18
8800053	8800053	26
8800054	8800054	11
8800055	8800055	28
8800056	8800056	32
8800057	8800057	20
8800058	8800058	40
8800059	8800059	15
8800060	8800060	27
8800061	8800061	39
8800062	8800062	26
8800063	8800063	61
8800064	8800064	30
8800065	8800065	34
8800066	8800066	29
8800067	8800067	39
8800068	8800068	22
8800069	8800069	31
8800070	8800070	33
8800071	8800071	25
8800072	8800072	25
8800073	8800073	34
8800074	8800074	42
8800075	8800075	24
8800076	8800076	37
8800077	8800077	46
8800078	8800078	18
8800079	8800079	28
8800080	8800080	60
8800081	8800081	29
8800082	8800082	32
8800083	8800083	30
8800084	8800084	30
8800085	8800085	22
8800086	8800086	46
8800087	8800087	24
8800088	8800088	27
8800089	8800089	31
8800090	8800090	26
8800091	8800091	26
8800092	8800092	20
8800093	8800093	48
8800094	8800094	33
8800095	8800095	22
8800096	8800096	36
8800097	8800097	29
8800098	8800098	36
8800099	8800099	37
8800100	8800100	30
8800101	8800101	32
8800102	8800102	32
8800103	8800103	23
8800104	8800104	42
8800105	8800105	21
8800106	8800106	18
8800107	8800107	35
8800108	8800108	24
8800109	8800109	20
8800110	8800110	22
8800111	8800111	24
8800112	8800112	28
8800113	8800113	23
8800114	8800114	27
8800115	8800115	24
8800116	8800116	22
8800117	8800117	26
8800118	8800118	29
8800119	8800119	25
8800120	8800120	46
8800121	8800121	23
8800122	8800122	17
8800123	8800123	27
8800124	8800124	21
8800125	8800125	24
8800126	8800126	44
8800127	8800127	29
8800128	8800128	17
8800129	8800129	33
8800130	8800130	11
8800131	8800131	27
8800132	8800132	28
8800133	8800133	28
8800134	8800134	22
8800135	8800135	21
8800136	8800136	26
8800137	8800137	29
8800138	8800138	31
8800139	8800139	32
8800140	8800140	31
8800141	8800141	41
8800142	8800142	21
8800143	8800143	18
8800144	8800144	22
8800145	8800145	54
8800146	8800146	16
8800147	8800147	27
8800148	8800148	27
8800149	8800149	25
8800150	8800150	23
8800151	8800151	20
8800152	8800152	23
8800153	8800153	25
8800154	8800154	21
8800155	8800155	29
8800156	8800156	21
8800157	8800157	27
8800158	8800158	26
8800159	8800159	16
8800160	8800160	23
8800161	8800161	16
8800162	8800162	24
8800163	8800163	11
8800164	8800164	22
8800165	8800165	5
8800166	8800166	49
8800167	8800167	59
8800168	8800168	58
8800169	8800169	30
8800170	8800170	58
8800171	8800171	42
8800172	8800172	20
8800173	8800173	20
8800174	8800174	29
8800175	8800175	28
8800176	8800176	18
8800177	8800177	31
8800178	8800178	35
8800179	8800179	24
8800180	8800180	20
8800181	8800181	33
8800182	8800182	29
8800183	8800183	28
8800184	8800184	45
8800185	8800185	61
8800186	8800186	57
8800187	8800187	46
8800188	8800188	44
8800189	8800189	62
8800190	8800190	49
